type,status,type,date,ticker,purchase_price,amount,title,industry,country,sum,current_price,current_sum,change,profit,fixed_profit,share,price_ev_w,price_pe_w,price_ps_w
purchase,open,Stock,02.04.2025,MCD,"289,05","0,010378",McDonald's Corp,Consumer Discretionary,United States,"2,9997609","257,4417963","2,671730962","-10,94%","-0,328029938",,"18,69%","0,2","0,4","0,4"
purchase,open,Stock,02.04.2025,KO,"66,39","0,030125",Coca-Cola Co,Consumer Staples,United States,"1,99999875","56,55750555","1,703794855","-14,81%","-0,2962038953",,"2,26%","0,3","0,4","0,3"
purchase,open,Stock,02.04.2025,HDB,61,"0,032786",HDFC Bank Ltd,Financials,India,"1,999946","29,8","0,9770228","-51,15%","-1,0229232",,"16,21%","0,0","0,7","0,3"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
purchase,dividend,Stock,24.04.2025,AIR.PA,,,Airbus SE,Industrials,France,"0,19",,,,,,,"0,4","0,4","0,2"
selling,closed,Stock,30.04.2025,RHM.DE,1479,"0,019088",Rheinmetall AG,Industrials,Germany,"28,231152",,,,,"5,693102",,"0,4","0,4","0,2"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
purchase,open,Stock,02.05.2025,WMT,"87,06","0,034458",Walmart Inc,Consumer Staples,United States,"2,99991348","87,12222705","3,0020577","0,07%","0,002144219689",,"20,86%","0,3","0,4","0,3"
purchase,open,Stock,02.05.2025,COST,"895,1","0,003351",Costco Wholesale Corp,Consumer Staples,United States,"2,9994801","809,8033566","2,713651048","-9,53%","-0,285829052",,"20,91%","0,3","0,4","0,3"
purchase,open,Stock,02.05.2025,NVDA,"100,18","0,029946",NVIDIA Corp,Information Technology,United States,"2,99999028","150,354591","4,502518582","50,08%","1,502528302",,"25,61%","0,2","0,3","0,5"
purchase,open,Stock,02.05.2025,SBUX,"73,42","0,02724",Starbucks Corp,Consumer Discretionary,United States,"1,9999608","71,9931156","1,961092469","-1,94%","-0,03886833106",,"20,57%","0,2","0,4","0,4"
purchase,open,Stock,02.05.2025,BRK-B,"474,2","0,006326",Berkshire Hathaway Inc Class B,Financials,United States,"2,9997892","419,6050973","2,654421845","-11,51%","-0,3453673548",,"10,03%","0,0","0,7","0,3"
purchase,open,Stock,02.05.2025,KO,"62,9","0,015898",Coca-Cola Co,Consumer Staples,United States,"0,9999842","56,55750555","0,8991512232","-10,08%","-0,1008329768",,"1,19%","0,3","0,4","0,3"
purchase,open,Stock,02.05.2025,MSFT,"383,7","0,005212",Microsoft Corp,Information Technology,United States,"1,9998444","440,9578331","2,298272226","14,92%","0,2984278259",,"20,76%","0,2","0,3","0,5"
